Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
2328,2995,100,0.1,0.99,6.094,10000,7331.22
2904,3055,100,0.1,0.99,6.094,10000,7392.33
3072,3125,100,0.1,0.99,6.094,10000,7462.98
3120,3055,100,0.1,0.99,6.094,10000,7392.64
2160,3005,100,0.1,0.99,6.094,10000,7341.09
2664,2980,100,6.71875,0.963963964,6.094,10000,7048.06
3192,3035,100,3.733333333,0.962406015,6.094,10000,7179.58
3024,3065,100,2.545138889,0.904761905,6.094,10000,7029.95
2688,3060,100,1.714285714,0.875,6.094,10000,7024.57
2616,3045,100,2.541666667,0.889908257,6.094,10000,6961.38
2880,3040,100,2.413690476,0.883333333,6.094,10000,6944.05
2616,3040,100,2.652777778,0.889908257,6.094,10000,6946.69
2760,3040,100,1.387820513,0.886956522,6.094,10000,7084.54
2856,3045,100,2.598214286,0.882352941,6.094,10000,6927.74
2856,3040,100,2.152777778,0.87394958,6.094,10000,6942.92
2952,3045,100,1.931547619,0.886178862,6.094,10000,7012.16
2832,3045,100,1.567708333,0.86440678,6.094,10000,7003.65
2712,3045,100,1.700520833,0.85840708,6.094,10000,6966.4
2976,3045,100,1.291666667,0.862903226,6.094,10000,7048.46
2880,3045,100,1.969444444,0.875,6.094,10000,6974.04
2808,3045,100,1.625,0.863247863,6.094,10000,6991.29
2784,3045,100,1.676470588,0.853448276,6.094,10000,6956.98
2928,3045,100,1.715277778,0.852459016,6.094,10000,6947.64
2832,3045,100,1.664215686,0.855932203,6.094,10000,6965.5
2760,3045,100,1.64254386,0.834782609,6.094,10000,6914.48
5328,3035,100,1.451612903,0.86036036,6.094,10000,7005.78
5616,3030,100,1.076576577,0.841880342,6.094,10000,7037.52
5304,3010,100,1.098837209,0.805429864,6.094,10000,6938.44
5232,3000,100,1.05995935,0.811926606,6.094,10000,6951.09
5520,2990,100,0.996296296,0.804347826,6.094,10000,6944.34
5472,2980,100,1.071969697,0.807017544,6.094,10000,6918.76
5400,2975,100,0.994565217,0.795555556,6.094,10000,6913.06
5496,2970,100,1.041666667,0.80349345,6.094,10000,6910.08
5352,2965,100,0.975775194,0.807174888,6.094,10000,6929.41
5448,2960,100,0.841856061,0.806167401,6.094,10000,6959.17
5448,2955,100,0.894021739,0.797356828,6.094,10000,6924.63
5376,2955,100,1.02037037,0.799107143,6.094,10000,6892.14
5448,2950,100,1.010416667,0.806167401,6.094,10000,6903.25
5376,2950,100,0.910326087,0.794642857,6.094,10000,6910.03
